id,start_time,end_time,cost,age,promoters,flyers,artists,pick,attending
205860.0,21:00,"09:00,New Years Eve",,,"[['967', 'fabric']]",[],"[['craigrichards', 'Craig Richards'], ['terryfrancis', 'Terry Francis'], ['stevebug', 'Steve Bug'], ['jayhaze', 'Jay Haze'], ['cassy', 'Cassy'], ['carstenklemann', 'Carsten Klemann'], ['pacoosuna', 'Paco Osuna'], ['alexidelano', 'Alexi Delano'], ['heartthrob', 'Heartthrob'], ['matttolfrey', 'Matt Tolfrey'], ['sebastianvoigt', 'Sebastian Voigt'], ['jozif', 'jozif'], ['nisekay', 'Nisekay'], ['blindminded', 'Blind Minded'], ['monchhichiboys', 'Monchhichi Boys']]",False,149
217896.0,21:00,"6,New Years Eve:00",£35,,"[['13798', 'lo*kee loves']]",['2010/uk-1231-217896-front.jpg'],"[['jozif', 'jozif'], ['sebastianvoigt', 'Sebastian Voigt'], ['nisekay', 'Nisekay'], ['blindminded', 'Blind Minded']]",False,60
204757.0,23:00,08:00,,,"[['967', 'fabric']]",[],"[['digweed', 'John Digweed'], ['guyj', 'Guy J'], ['terryfrancis', 'Terry Francis'], ['carilekebusch', 'Cari Lekebusch'], ['paulkalkbrenner', 'Paul Kalkbrenner'], ['jimpster', 'Jimpster'], ['warrenmooney', 'Warren Mooney']]",False,118
201433.0,22:00,06:00,,,"[['967', 'fabric']]",[],"[['chasestatus', 'Chase & Status'], ['roska', 'Roska'], ['scratchperverts', 'Scratch Perverts'], ['alixperez', 'Alix Perez'], ['mumdance', 'Mumdance'], ['alib', 'Ali B'], ['kidkanevil', 'Kidkanevil'], ['chrispcuts', 'Chris P Cuts']]",False,40
204754.0,23:00,08:00,,,"[['967', 'fabric']]",['2010/uk-1211-204754-front.jpg'],"[['craigrichards', 'Craig Richards'], ['radioslave', 'Radio Slave'], ['guygerber', 'Guy Gerber'], ['bensims', 'Ben Sims'], ['surgeon', 'Surgeon'], ['shackleton', 'Shackleton'], ['peverelist', 'Peverelist'], ['brettjohnson', 'Brett Johnson'], ['terryfrancis', 'Terry Francis']]",False,79
201430.0,22:00,06:00,,,"[['967', 'fabric']]",[],"[['andyc', 'Andy C'], ['subfocus', 'Sub Focus'], ['highcontrast', 'High Contrast'], ['mctexas', 'MC Texas'], ['mjcole', 'MJ Cole'], ['hatcha', 'Hatcha'], ['dcbreaks', 'DC Breaks'], ['cultureshock', 'Culture Shock'], ['lenzman', 'Lenzman'], ['kasra', 'Kasra'], ['rockwell', 'Rockwell'], ['ulteriormotive', 'Ulterior Motive'], ['krakota', 'Krakota']]",False,40
204752.0,23:00,08:00,,,"[['967', 'fabric']]",['2010/uk-1204-204752-front.jpg'],"[['claudevonstroke', 'Claude VonStroke'], ['justinmartin', 'Justin Martin'], ['catzndogz', 'Catz N Dogz'], ['mandy', 'M.A.N.D.Y.'], ['heidi', 'Heidi'], ['emersontodd', 'Emerson Todd'], ['terryfrancis', 'Terry Francis']]",False,109
205541.0,22:00,06:00,,,"[['967', 'fabric']]",[],"[['plastician', 'Plastician'], ['tc', 'TC'], ['sbtrkt', 'SBTRKT'], ['omunit', 'Om Unit'], ['mensah', 'Mensah'], ['dbridge', 'dBridge'], ['instramental', 'Instra:mental'], ['loefah', 'Loefah'], ['commix', 'Commix'], ['coolyg', 'Cooly G'], ['shortstuff', 'Shortstuff'], ['mosca', 'Mosca'], ['alterednatives', 'Altered Natives'], ['girlunit', 'Girl Unit']]",False,16
197952.0,23:00,08:00,,,"[['967', 'fabric']]",['2010/uk-1127-197952-front.jpg'],"[['svenvath', 'Sven Väth'], ['matttolfrey', 'Matt Tolfrey'], ['dinky', 'Dinky'], ['markusfix', 'Markus Fix'], ['craigrichards', 'Craig Richards'], ['jozif', 'jozif']]",False,262
199720.0,22:00,06:00,,,"[['967', 'fabric']]",['2010/uk-1126-199720-front.jpg'],"[['djhype', 'DJ Hype'], ['artificialintelligence', 'Artificial Intelligence'], ['djdie', 'DJ Die'], ['taxman', 'Taxman'], ['ltjbukem', 'LTJ Bukem'], ['mcconrad', 'MC Conrad'], ['paulsg', 'Paul SG'], ['sukhknight-uk', 'Sukh Knight'], ['ddoublee', 'D Double E']]",False,19
197951.0,23:00,08:00,,,"[['967', 'fabric']]",['2010/uk-1120-197951-front.jpg'],"[['craigrichards', 'Craig Richards'], ['matthiastanzmann', 'Matthias Tanzmann'], ['jeremypcaulfield', 'Jeremy P. Caulfield'], ['seph', 'Seph'], ['cesarevsdisorder', 'Cesare vs Disorder'], ['terryfrancis', 'Terry Francis'], ['purescience', 'Pure Science']]",False,73
199717.0,22:00,06:00,,,"[['967', 'fabric']]",['2010/uk-1119-199717-front.jpg'],"[['djmarky', 'DJ Marky'], ['djmk', 'Dj Mk'], ['grooverider', 'Grooverider'], ['fabio', 'Fabio'], ['docscott', 'Doc Scott'], ['klute', 'Klute'], ['appleblim', 'Appleblim'], ['komonazmuk', 'Komonazmuk'], ['grenier', 'DJG'], ['october', 'October'], ['arkist', 'Arkist'], ['orphan101', 'Orphan101']]",False,19
201740.0,23:00,08:00,,,"[['967', 'fabric']]",['2010/uk-1113-201740-front.jpg'],"[['craigrichards', 'Craig Richards'], ['guillaume', 'Guillaume & The Coutu Dumonts'], ['danghenacia', 'Dan Ghenacia'], ['terryfrancis', 'Terry Francis'], ['steverachmad', 'Steve Rachmad'], ['heikolaux', 'Heiko Laux'], ['thesecretagency', 'The Secret Agency'], ['jamespriestley', 'James Priestley'], ['delanosmith', 'Delano Smith'], ['brawther', 'Brawther']]",False,58
199715.0,22:00,06:00,,,"[['967', 'fabric']]",['2010/uk-1112-199715-front.gif'],"[['scratchperverts', 'Scratch Perverts'], ['andyc', 'Andy C'], ['rusko', 'Rusko'], ['popof', 'Popof'], ['rivastarr', 'Riva Starr'], ['benjib', 'Benji B'], ['untold', 'Untold'], ['joeransom', 'Joe Ransom'], ['bassnectar', 'Bassnectar']]",False,30
197948.0,23:00,08:00,,,"[['967', 'fabric']]",['2010/uk-1106-197948-front.jpg'],"[['craigrichards', 'Craig Richards'], ['luciano', 'Luciano'], ['ernestoferreyra', 'Ernesto Ferreyra'], ['terryfrancis', 'Terry Francis'], ['nathancoles', 'Nathan Coles'], ['eddierichards', 'Eddie Richards'], ['maetrik', 'Maetrik'], ['inlandknights', 'Inland Knights'], ['fredeverything', 'Fred Everything'], ['dasunlounge', 'Da Sunlounge']]",False,132
199711.0,22:00,06:00,,,"[['967', 'fabric']]",['2010/uk-1105-199711-front.jpg'],"[['sinden', 'Sinden'], ['toddedwards', 'Todd Edwards'], ['djez', 'DJ EZ'], ['redlight', 'Redlight'], ['oneman', 'Oneman'], ['marcusintalex', 'Marcus Intalex'], ['calibre', 'Calibre'], ['dbridge', 'dBridge'], ['lynx', 'Lynx'], ['s.p.y', 'S.P.Y'], ['silentdust', 'Silent Dust'], ['icicle', 'Icicle'], ['pearsonsound', 'Pearson Sound'], ['ramadanman', 'Ramadanman'], ['benufo', 'Ben UFO'], ['pangaea', 'Pangaea'], ['joe', 'Joe']]",False,19
190720.0,23:00,08:00,,,"[['967', 'fabric']]",['2010/uk-1030-190720-front.jpg'],"[['craigrichards', 'Craig Richards'], ['babyford', 'Baby Ford'], ['sammydee', 'Sammy Dee'], ['terryfrancis', 'Terry Francis'], ['lovefingers', 'Lovefingers'], ['leedouglas', 'Lee Douglas']]",False,232
